DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,Applied Microbiology and Biotechnology,https://link.springer.com/article/10.1007%2Fs00253-002-0938-3,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,Marine Biology,https://link.springer.com/article/10.1007%2Fs00227-004-1334-6,,,"Cooperate within/between species,Manage wear,Move through/on solids,Protect from animals,Protect from solids","Cooperate within the same species,Manage mechanical wear,Move in/on solids,Protect from animals,Protect from dirt/solids",
,,,Wood Science and Technology,https://link.springer.com/article/10.1007%2Fs00226-005-0065-2,,,Catalyze chemical breakdown,Catalyze chemical breakdown,
,,,Naturwissenschaften,https://link.springer.com/article/10.1007%2Fs00114-009-0596-8,,,Protect from animals,"Protect from animals,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
,,,"Naturwissenschaften,Plant Ecology and Evolution,Science","https://link.springer.com/article/10.1007%2Fs00114-008-0472-y
https://www.ingentaconnect.com/contentone/botbel/plecevo/2016/00000149/00000002/art00001
https://www.ingentaconnect.com/contentone/botbel/plecevo/2017/00000150/00000001/art00010
https://science.sciencemag.org/content/201/4356/614",,,"Distribute liquids,""Capture, absorb, or filter liquids""","Distribute liquids,""Capture, absorb, or filter liquids""",
,,,Naturwissenschaften,https://link.springer.com/article/10.1007%2Fs00114-005-0069-7,,,"Distribute gases,""Capture, absorb, or filter chemical entities""","Chemically assemble mineral crystals,Distribute gases,""Capture, absorb, or filter chemical entities""",
,,,Chemoecology,https://link.springer.com/article/10.1007%2Fs00049-010-0059-x,,,"Physically assemble structure,Protect from animals,Protect from microbes","Chemically assemble molecular devices,Physically assemble structure,Protect from animals,Protect from microbes",
,,,Chemoecology,https://link.springer.com/article/10.1007%2Fs00049-010-0054-2,,,"Protect from animals,Protect from microbes","Protect from animals,Protect from microbes",
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Primates",https://link.springer.com/article/10.1007%2FBF02381090,,,"Protect from animals,Protect from fungi,Protect from microbes","Protect from animals,Protect from fungi,Protect from microbes",
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Experientia,Olfaction and Taste: Proceedings of the Third International Symposium","https://link.springer.com/article/10.1007%2FBF02135966
https://books.google.com/books?id=ILFpAAAAMAAJ&lpg=PR11&ots=3pmzsRwISC&dq=Olfaction%20and%20Taste%3A%20Proceedings%20of%20the%20Third%20International%20Symposium&lr&pg=PR11#v=onepage&q=Olfaction%20and%20Taste:%20Proceedings%20of%20the%20Third%20International%20Symposium&f=false",,,Sense light in the non-visible spectrum,Sense light (non-visible spectrum) from the environment,
,,,"Zoomorphology,Annual Review of Entomology","https://link.springer.com/article/10.1007%2FBF01632816
https://www.annualreviews.org/doi/10.1146/annurev-ento-112408-085338",,,Change size/shape,"Modify position,Modify size/shape/mass/volume",
,,,"Comparative Biomechanics: Life's Physical World,Protoplasma,Life at Small Scale: The Behavior of Microbes",https://link.springer.com/article/10.1007%2FBF01279256,,,"Cooperate within/between species,Coordinate by self-organization,Move through/on solids","Cooperate within the same species,Coordinate by self-organization,Move in/on solids,Navigate over land",
,,,"The grand design: Form and colour in animals,International Journal of Biometeorology",https://link.springer.com/article/10.1007%2FBF01049065,,,Protect from temperature,"Maintain homeostasis,Protect from temperature",
,,,Journal of comparative physiology,https://link.springer.com/article/10.1007%2FBF00692371,,,Expel solids,"Expel solids,Maintain homeostasis",
,,,"Journal of Comparative Physiology A,Animal Eyes",https://link.springer.com/article/10.1007%2FBF00660177,,,"Modify color,""Capture, absorb, or filter energy""","Modify light/color,""Capture, absorb, or filter energy""",
,,,Journal of Comparative Physiology A,"https://link.springer.com/article/10.1007%2FBF00615085?LI=true
https://link.springer.com/article/10.1007%2FBF00611243?LI=true",,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
,,,Journal of Comparative Physiology A,https://link.springer.com/article/10.1007%2FBF00610867,,,"Cooperate within/between species,Send sound signals","Cooperate within the same species,Navigate through air,Send sound signals",
,,,"Marine Biology,Marine & Freshwater Research","https://link.springer.com/article/10.1007%2FBF00346343
https://www.publish.csiro.au/mf/MF97051",,,Protect from light,Protect from light,
,,,"Oecologia,Science","https://link.springer.com/article/10.1007%2FBF00344858
https://science.sciencemag.org/content/193/4252/484",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,"Comparative Biomechanics: Life's Physical World,Materials Science and Engineering,Zeitschrift für Zellforschung und Mikroskopische Anatomie","https://link.springer.com/article/10.1007%2FBF00340948
https://www.sciencedirect.com/science/article/abs/pii/S0928493199001290?via%3Dihub",,,Break down structure,"Break down living materials,Break down non-living materials,Modify material characteristics",
,,,"Comparative Biomechanics: Life's Physical World,Zeitschrift für Zellforschung und Mikroskopische Anatomie,Materials Science and Engineering","https://link.springer.com/article/10.1007%2FBF00340948
https://www.sciencedirect.com/science/article/abs/pii/S0928493199001290?via%3Dihub",,,Break down structure,"Break down living materials,Break down non-living materials,Modify material characteristics",
